project,headline,source_i,controls,headline_density,control_density,isolation_lift,median_distance,maximum_distance
flt,flt_pinned,5160,20,0.8639845848083496,0.7837857604026794,-0.08019882440567017,4.746091724324744,5.233024279709585
flt,flt_mathlib,5161,20,0.7316611409187317,0.753243625164032,0.021582484245300293,6.316581015239613,6.564583453072015
flt,fermat_last_theorem,7018,20,0.8639845848083496,0.7703989148139954,-0.09358566999435425,4.423936796394973,4.846420219847687
formalized-logic,incomplete,11565,20,0.7467712163925171,0.763080894947052,0.016309678554534912,4.080318999186504,4.428650601212659
formalized-logic,incomplete_of_RE,11566,20,0.7491742372512817,0.7671447396278381,0.017970502376556396,3.4103241544491834,3.6291666212190146
formalized-logic,first_incompleteness,11579,20,0.6830998659133911,0.7201274633407593,0.037027597427368164,3.1424690394794985,3.7426208940285606
formalized-logic,consistent_unprovable,11616,20,0.7058063745498657,0.7153784036636353,0.009572029113769531,4.382597387193201,4.96422803997246
formalized-logic,craig_consistent_unprovable_of_RE,11617,20,0.7132378220558167,0.718608021736145,0.005370199680328369,4.379236649694266,5.737746054453216
navier-stokes-euler,exists_compact_smooth_euler_singularity,2685,20,0.6682870984077454,0.7119715213775635,0.043684422969818115,2.629835798172527,2.9378833271370954
navier-stokes-euler,euler_breakdown_R3,3140,20,0.7416073083877563,0.7425109148025513,0.0009036064147949219,4.557339938864013,5.290947177012956
navier-stokes-euler,exists_compact_smooth_euler_singularity,3141,20,0.7201122045516968,0.6973836421966553,-0.022728562355041504,3.9571861324066235,4.213092222122175
navier-stokes-euler,navier_stokes_breakdown_R3,3679,20,0.6746314764022827,0.6971195936203003,0.022488117218017578,2.868011079916677,3.125579377782838
navier-stokes-euler,navier_stokes_breakdown_R3,3680,20,0.7967141270637512,0.7339925765991211,-0.06272155046463013,2.9413646628487093,3.32124296394021
navier-stokes-euler,navier_stokes_breakdown_periodic,3681,20,0.7967141270637512,0.7117068767547607,-0.08500725030899048,2.9412923368194064,3.07260265557578
navier-stokes-euler,navier_stokes_breakdown_periodic,3682,20,0.6650524735450745,0.6971195936203003,0.03206712007522583,2.8967856862644235,3.1234542448761626
pfr,approx_hom_pfr,7022,4,0.7351147532463074,0.750058650970459,0.014943897724151611,7.635721028603649,8.351272791806037
pfr,homomorphism_pfr,7475,14,0.7842649221420288,0.7605392336845398,-0.023725688457489014,6.761843476149473,9.856462893914363
pnt,chebyshev_asymptotic,7960,20,0.7247512936592102,0.7672725915908813,0.04252129793167114,4.82477957795505,5.924313012010357
pnt,MediumPNT,10179,20,0.755963921546936,0.7565372586250305,0.0005733370780944824,5.020071268675921,5.3755662781556905
pnt,WeakPNT,10364,20,0.7995039224624634,0.7729154825210571,-0.02658843994140625,3.226617780050569,3.4466624652869977
schoenflies,jordan_schoenflies,14123,20,0.7492779493331909,0.749941885471344,0.0006639361381530762,4.591291108832635,5.174949885263117
sphere-eversion,sphere_eversion,17968,20,0.736009418964386,0.7548595070838928,0.018850088119506836,5.960644955966959,6.7458873675012825
ten-proofs,quantitativeCompactnessCounterexample,49,20,0.7001981735229492,0.6781820058822632,-0.022016167640686035,3.8523549249454705,4.146351248729246
ten-proofs,twoDegenerateExtremalCounterexample,95,20,0.7022308111190796,0.6865085959434509,-0.015722215175628662,4.62621714975562,4.932089954287664
ten-proofs,exists_infinite_pairwise_nonisomorphic_propertyT_icc_groups_with_isomorphic_factors,363,20,0.7675899267196655,0.7017866969108582,-0.06580322980880737,4.453619683641319,5.014125671860611
ten-proofs,ehrhart_volume_inequality_for_sets,618,20,0.7260192036628723,0.6680009365081787,-0.058018267154693604,1.9541669815856952,2.3143312082237886
ten-proofs,gapCVP400IsNPHard,1138,20,0.769421398639679,0.7270230054855347,-0.04239839315414429,4.550328935236066,4.850747866386016
ten-proofs,binaryRate_lt_mrrw,1244,20,0.8006660342216492,0.7893950939178467,-0.01127094030380249,2.4305792056854725,2.701914412574137
ten-proofs,strict_hierarchy,1727,20,0.7050029039382935,0.7173054814338684,0.012302577495574951,3.5302852621725815,3.8087398158943424
ten-proofs,erdos_problem_183_explicit,1745,20,0.7816232442855835,0.734950840473175,-0.04667240381240845,8.985534176892696,9.483012823017685
ten-proofs,exists_finitelyPresented_nonsofic_group,1878,20,0.720284640789032,0.7403180003166199,0.02003335952758789,2.595921416204729,3.199830232385187
ten-proofs,permanent_rational_formula_logarithmic_lower_bound,2013,20,0.7384464740753174,0.7533228993415833,0.01487642526626587,3.629099782002717,3.9170856603359265
ten-proofs,distributionUniformExponential,2252,20,0.7320218682289124,0.7109395265579224,-0.02108234167098999,4.383157338262059,4.824747360833325
ten-proofs,sharpFullCohnElkiesManuscriptConclusions,2511,20,0.7807543277740479,0.7179962992668152,-0.06275802850723267,2.682252144366347,3.3493832979514275
