project,all_controls,cone_excluded
flt,-0.05073400338490804,-0.05073400338490804
formalized-logic,0.017250001430511475,0.01734968423843384
navier-stokes-euler,-0.01018772806440081,-0.013334580830165319
pfr,-0.004390895366668701,-0.009170681238174438
pnt,0.005502065022786458,-0.0027981003125508628
schoenflies,0.0006639361381530762,0.0206756591796875
sphere-eversion,0.018850088119506836,0.03151911497116089
ten-proofs,-0.024877468744913738,-0.009873325626055399
