project,raw,header_normalized,alpha_normalized
ten-proofs,-0.0674337372183799,-0.08112858980894089,-0.05597006902098656
navier-stokes-euler,-0.0880135744810104,-0.09455960243940353,-0.06612652540206909
flt,-0.0445011742413044,-0.049928974360227585,-0.03329530358314514
pfr,-0.0508506596088409,-0.04340624436736107,-0.0320185162127018
pnt,-0.0953880250453949,-0.09658697992563248,-0.0906820148229599
formalized-logic,-0.0392510741949081,-0.03618742153048515,-0.005655184388160706
schoenflies,-0.0628732293844223,-0.06527859717607498,-0.059578269720077515
sphere-eversion,-0.0315724164247512,-0.03294309601187706,-0.018521899357438087
