length,multiplicity,first_sorted_step,padded,area_under_entropy_curve,halfway_information_removed,maximum_step_gain,gain_unevenness,normalized_gain_entropy,curvature,stall_fraction,curve_1,curve_2,curve_3,curve_4,curve_5,curve_6,curve_7,trajectory_pc1,trajectory_pc2
5,12,5,False,0.49303905106798274,0.5089100146329772,0.21810429198553158,0.028157501742230005,0.9933959347173718,0.08383894895297178,0.0,0.8636848175090087,0.7273696350180515,0.5910544525270944,0.4910899853670227,0.3911255182069511,0.25481033571599376,0.1251776641997568,3.4819350816708874,4.385914333086866
6,12,6,False,0.5404709269825445,0.4362085839710971,0.21810429198553158,0.07884325996890867,0.8923123370353191,0.3316114452946681,0.16666666666666666,0.8364217810108173,0.7818957080144344,0.7273696350180515,0.5637914160289029,0.4547392700360825,0.30933640871237655,0.15021319703970806,5.139403965909442,4.1446478158227045
6,24,6,False,0.4930339178842743,0.47255929930209173,0.2181042919855315,0.03634070058601186,0.986417062787778,0.1944490072742192,0.0,0.8364217810108173,0.7091942773525542,0.6092298101924826,0.5274407006979083,0.3772275036582,0.2520498394583887,0.13270743070386004,3.2111977448480102,3.172597141290935
6,24,6,False,0.4994653321103761,0.47255929930209173,0.21810429198553155,0.04745667631973134,0.9766865946598269,0.2548103357159939,0.0,0.8364217810108173,0.7091942773525542,0.6092298101924826,0.5274407006979083,0.3772275036582,0.2726303649819144,0.1635782189891486,3.405750154112221,2.934892845205759
6,24,6,False,0.4948941147141766,0.47255929930209173,0.2181042919855315,0.03419339958285576,0.9878704273492136,0.16468585799578217,0.0,0.8364217810108173,0.7091942773525542,0.6092298101924826,0.5274407006979083,0.38615644844173114,0.2580024693140761,0.13270743070386004,3.278626961130923,3.1332981278552747
6,24,6,False,0.4985411493674783,0.47255929930209173,0.2181042919855315,0.038290097211950216,0.9849204918456922,0.199814765077883,0.0,0.8364217810108173,0.7091942773525542,0.6092298101924826,0.5274407006979083,0.38615644844173114,0.2696729802046415,0.15021319703970806,3.3889509666335162,2.998504165814554
6,24,6,False,0.49807314232397604,0.47255929930209173,0.21810429198553155,0.05049315543628644,0.9733456628626833,0.2726303649819143,0.0,0.8364217810108173,0.7091942773525542,0.6092298101924826,0.5274407006979083,0.37054499268347985,0.26817535766543427,0.1635782189891486,3.3552854588149175,2.964304617251192
6,24,6,False,0.486146327958777,0.47255929930209173,0.2181042919855315,0.03860461695409083,0.9847851440976148,0.20746190599266365,0.0,0.8364217810108173,0.7091942773525542,0.6092298101924826,0.5274407006979083,0.37054499268347985,0.23000955169679732,0.10632951003619322,2.994495376257459,3.4051182413701575
6,96,6,False,0.4759278959979908,0.5637914160289369,0.2181042919855315,0.03634070058601188,0.9864170627877782,0.18758883209971078,0.0,0.8364217810108173,0.7091942773525542,0.5864217810107714,0.4362085839710631,0.3544194744764888,0.2520498394583887,0.13270743070386004,2.4985117745814107,2.9588475813276793
6,48,6,False,0.4823593102240926,0.5637914160289369,0.21810429198553155,0.04745667631973136,0.9766865946598269,0.21845962038499933,0.0,0.8364217810108173,0.7091942773525542,0.5864217810107714,0.4362085839710631,0.3544194744764888,0.2726303649819144,0.1635782189891486,2.6930641838456215,2.721143285242504
6,48,6,False,0.4855057898992153,0.5226303649818855,0.2181042919855315,0.026094041948406026,0.993439625443331,0.10254409404914422,0.0,0.8364217810108173,0.7091942773525542,0.5967120437725342,0.4773696350181145,0.37363868202178274,0.2580024693140761,0.13270743070386004,2.8874824025416546,3.0159856216904593
