length,padded,sequences,semantic_profiles,weighted_mean_area,weighted_mean_halfway_information_removed
5,False,12,1,0.49303905106798274,0.5089100146329772
6,False,828,26,0.4825327922122267,0.5263878337215419
6,True,72,1,0.41375588318892165,0.5816114452948575
7,False,11400,120,0.4685685264071085,0.5536975005862204
7,True,5400,27,0.40988148649078454,0.6046172585126225
8,False,103320,350,0.45423418431714074,0.5800908407111711
8,True,100800,147,0.3927931866714962,0.6326947712910233
