project,alpha_baseline,architecture_matched,architecture_regression,architecture_nonlinear,control_cv_r_squared
ten-proofs,-0.0559700690209865,-0.09506625682115555,-0.015348265581199526,-0.07513183839993709,0.4219920804863476
navier-stokes-euler,-0.066126525402069,-0.06340347975492477,-0.05378802564380097,-0.06295891207599086,0.41038394284326074
flt,-0.0332953035831451,-0.04812546819448471,-0.01868792854861449,-0.03778852742888813,0.3796420155256137
pfr,-0.0320185162127018,-0.038739174604415894,-0.012331341134659786,-0.023137643786157725,0.38132578883529056
pnt,-0.0906820148229599,-0.08476671576499939,-0.10065575238766036,-0.0724404802262064,0.41557137123411736
formalized-logic,-0.0056551843881607,-0.0005647478392347693,-0.015272346568268097,-0.012974865002993859,0.40307809944934747
schoenflies,-0.0595782697200775,-0.05851571261882782,-0.03995095851320356,-0.05503489347209497,0.41557137123411736
sphere-eversion,-0.018521899357438,-0.015150824561715126,-0.014262715036371597,-0.016925525273739896,0.38022911647265134
