project,n,effect
ten-proofs,2512,-0.04366910457611084
navier-stokes-euler,2507,-0.05098618566989899
flt,2003,-0.021774882450699806
pfr,910,-0.030839703977108
pnt,2503,-0.06430718302726746
formalized-logic,2505,0.000555392587557435
schoenflies,2501,-0.040936511009931564
sphere-eversion,909,-0.005684980656951666
