truth_table,minimum_gates,minimum_formula_count,all_formula_count_at_minimum,minimum_probability,boundary_surprisal_bits,canonical_baseline_nand_gates,compression_gain,triad_score,witness
96,8,384,28146690,1.3642811996721461e-05,16.161499437435,51,43,694.9444758097051,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, x1), NAND(NAND(x0, x2), NAND(x1, x2))))"
97,12,5120,331638315876,1.543850560957008e-08,25.94889164729621,143,131,3399.3048057958035,"NAND(NAND(x0, NAND(x0, NAND(x2, NAND(x0, x1)))), NAND(NAND(x0, x0), NAND(NAND(x1, x2), NAND(NAND(x1, x1), NAND(x2, x2)))))"
98,7,960,2814669,0.00034107029991803654,11.517643247660276,139,132,1520.3289086911564,"NAND(NAND(x0, NAND(x0, x1)), NAND(x1, NAND(x1, NAND(x2, NAND(x0, x0)))))"
99,9,7872,287096238,2.741937705223431e-05,15.15444467990105,255,246,3727.9933912556585,"NAND(NAND(x0, NAND(x0, x1)), NAND(NAND(x1, NAND(x1, x2)), NAND(x2, NAND(x1, NAND(x0, x0)))))"
100,7,960,2814669,0.00034107029991803654,11.517643247660276,135,128,1474.2583357005153,"NAND(NAND(x1, NAND(x0, x0)), NAND(x0, NAND(x0, NAND(x2, NAND(x0, x1)))))"
101,9,7872,287096238,2.741937705223431e-05,15.15444467990105,247,238,3606.75783381645,"NAND(NAND(x1, NAND(x0, x0)), NAND(NAND(x0, NAND(x0, x2)), NAND(x2, NAND(x0, NAND(x0, x1)))))"
102,5,72,30618,0.0023515579071134627,8.732167425663386,239,234,2043.3271776052322,"NAND(NAND(x0, NAND(x0, x1)), NAND(x1, NAND(x0, x0)))"
103,7,864,2814669,0.0003069632699262329,11.669646341105327,263,256,2987.429463322964,"NAND(NAND(x0, NAND(x0, x1)), NAND(NAND(x0, x0), NAND(x2, NAND(x1, x1))))"
104,10,15360,2975361012,5.162398760369318e-06,17.563526985159218,131,121,2125.186765204265,"NAND(NAND(x0, NAND(x0, NAND(x1, NAND(x0, x2)))), NAND(NAND(x0, x1), NAND(NAND(x0, x2), NAND(x1, x2))))"
105,13,3072,3553267670100,8.645563141359244e-10,30.107321009900694,239,226,6804.254548237557,"NAND(NAND(NAND(x0, x1), NAND(NAND(x0, x2), NAND(x1, x2))), NAND(NAND(x2, x2), NAND(NAND(x0, x1), NAND(NAND(x0, x0), NAND(x1, x1)))))"
106,7,640,2814669,0.0002273801999453577,12.102605748381432,231,224,2710.9836876374407,"NAND(NAND(x0, NAND(x1, x2)), NAND(x1, NAND(x1, NAND(x2, NAND(x0, x0)))))"
107,9,3840,287096238,1.3375305879138688e-05,16.19006858963177,271,262,4241.797970483524,"NAND(NAND(x0, NAND(x1, x2)), NAND(NAND(x1, NAND(x1, x2)), NAND(x2, NAND(x1, NAND(x0, x0)))))"
108,7,640,2814669,0.0002273801999453577,12.102605748381432,223,216,2614.1628416503895,"NAND(NAND(x1, NAND(x0, x2)), NAND(x0, NAND(x0, NAND(x2, NAND(x0, x1)))))"
109,9,3840,287096238,1.3375305879138688e-05,16.19006858963177,279,270,4371.3185192005785,"NAND(NAND(x1, NAND(x0, x2)), NAND(NAND(x0, NAND(x0, x2)), NAND(x2, NAND(x0, NAND(x0, x1)))))"
110,5,128,30618,0.004180547390423933,7.902092427105697,287,282,2228.3900644438068,"NAND(NAND(x0, NAND(x0, x1)), NAND(x1, NAND(x0, x2)))"
111,6,144,288684,0.0004988153136301285,10.969206622964235,103,97,1064.0130424275308,"NAND(x2, NAND(NAND(x0, x1), NAND(NAND(x0, x0), NAND(x1, x1))))"
112,5,232,30618,0.00757724214514338,7.044111431978125,135,130,915.7344861571563,"NAND(NAND(x0, NAND(x0, x0)), NAND(x2, NAND(x0, x1)))"
113,6,16,288684,5.542392373668094e-05,14.139131624406547,247,241,3407.5307214819777,"NAND(NAND(x2, NAND(x0, x1)), NAND(NAND(x0, x0), NAND(x1, x1)))"
114,5,120,30618,0.003919263178522437,7.995201831497179,239,234,1870.8772285703399,"NAND(NAND(x0, NAND(x0, x1)), NAND(x2, NAND(x0, x0)))"
115,3,20,405,0.04938271604938271,4.339850002884625,255,252,1093.6422007269255,"NAND(x1, NAND(x2, NAND(x0, x0)))"
116,5,120,30618,0.003919263178522437,7.995201831497179,231,226,1806.9156139183626,"NAND(NAND(x1, NAND(x0, x0)), NAND(x2, NAND(x0, x1)))"
117,3,20,405,0.04938271604938271,4.339850002884625,263,260,1128.3610007500026,"NAND(x0, NAND(x2, NAND(x0, x1)))"
118,8,544,28146690,1.9327316995355404e-05,15.658999096905818,271,263,4118.31676248623,"NAND(NAND(x0, NAND(x0, x1)), NAND(NAND(x0, x0), NAND(NAND(x1, x1), NAND(x2, x2))))"
119,1,2,9,0.2222222222222222,2.1699250014423126,95,94,203.97295013557738,"NAND(x0, x1)"
120,7,640,2814669,0.0002273801999453577,12.102605748381432,223,216,2614.1628416503895,"NAND(NAND(x2, NAND(x0, x1)), NAND(x0, NAND(x0, NAND(x1, NAND(x0, x2)))))"
121,9,3840,287096238,1.3375305879138688e-05,16.19006858963177,279,270,4371.3185192005785,"NAND(NAND(x2, NAND(x0, x1)), NAND(NAND(x0, NAND(x0, x1)), NAND(x1, NAND(x0, NAND(x0, x2)))))"
122,5,128,30618,0.004180547390423933,7.902092427105697,287,282,2228.3900644438068,"NAND(NAND(x0, NAND(x0, x2)), NAND(x2, NAND(x0, x1)))"
123,6,144,288684,0.0004988153136301285,10.969206622964235,103,97,1064.0130424275308,"NAND(x1, NAND(NAND(x0, x2), NAND(NAND(x0, x0), NAND(x1, x2))))"
124,5,128,30618,0.004180547390423933,7.902092427105697,303,298,2354.8235432774977,"NAND(NAND(x1, NAND(x0, x2)), NAND(x2, NAND(x0, x1)))"
125,6,144,288684,0.0004988153136301285,10.969206622964235,111,105,1151.7666954112447,"NAND(x0, NAND(NAND(x1, x2), NAND(NAND(x0, x1), NAND(x0, x2))))"
126,8,1056,28146690,3.751773299098402e-05,14.702067818797705,119,111,1631.9295278865452,"NAND(NAND(x0, NAND(x0, x1)), NAND(NAND(x0, x2), NAND(NAND(x1, x1), NAND(x2, x2))))"
127,3,24,405,0.05925925925925926,4.076815597050831,19,16,65.2290495528133,"NAND(x0, NAND(x0, NAND(x1, x2)))"
128,6,288,288684,0.000997630627260257,9.969206622964235,9,3,29.907619868892702,"NAND(NAND(x0, NAND(x0, x0)), NAND(x0, NAND(x0, NAND(x1, x2))))"
129,11,18432,31241290626,5.899884297564935e-07,20.69281000210418,59,48,993.2548801010007,"NAND(NAND(x0, NAND(x0, x0)), NAND(NAND(x0, NAND(x0, x1)), NAND(NAND(x0, x2), NAND(NAND(x1, x1), NAND(x2, x2)))))"
130,9,5184,287096238,1.805666293683723e-05,15.757109182355666,55,46,724.8270223883607,"NAND(NAND(x0, NAND(x0, x0)), NAND(x0, NAND(NAND(x1, x2), NAND(NAND(x0, x1), NAND(x0, x2)))))"
131,7,96,2814669,3.4107029991803654e-05,14.83957134254764,151,144,2136.89827332686,"NAND(NAND(x0, NAND(x0, NAND(x1, x2))), NAND(NAND(x1, x1), NAND(x2, x2)))"
