project,n,headline_n,median_match_distance,statement_difference,proof_difference
flt,2003,3,0.10414673579966782,-0.06950313597917557,-0.05989454686641693
formalized-logic,2505,5,0.05840447852233033,-0.06244644522666931,-0.04596627503633499
lean-liquid,2502,2,0.08172291717874702,-0.04736113175749779,-0.038170091807842255
navier-stokes-euler,2507,7,0.11109526986842297,-0.09827237576246262,-0.09980795532464981
pfr,910,2,0.08803316302726347,-0.06890025734901428,-0.06647425144910812
pnt,2503,3,0.08529017651478132,-0.1120983436703682,-0.10213603079319
schoenflies,2501,1,0.08619496968418021,-0.0783967524766922,-0.11492700129747391
sphere-eversion,909,1,0.07873152954790491,-0.05248001217842102,-0.06354805082082748
ten-proofs,2512,12,0.1768808869037882,-0.08123940229415894,-0.07832716405391693
