project,headline,file_path,line,proof_characters,matched_controls,headline_direct_dependencies,control_direct_dependencies,direct_dependencies_lift,headline_closure_size,control_closure_size,closure_size_lift,headline_closure_depth,control_closure_depth,closure_depth_lift,headline_cone_proof_characters,control_cone_proof_characters,cone_proof_characters_lift,headline_reusable_fraction,control_reusable_fraction,reusable_fraction_lift,headline_mean_log_reuse,control_mean_log_reuse,mean_log_reuse_lift,headline_compression_savings,control_compression_savings,compression_savings_lift,headline_compression_ratio,control_compression_ratio,compression_ratio_lift,headline_compression_fraction,control_compression_fraction,compression_fraction_lift,log_closure_lift
ten-proofs,quantitativeCompactnessCounterexample,CompactnessAndDegeneracy.lean,9320,461,20,13,7.75,5.25,1139,683.85,0.5208360288111242,23,21.45,1.5500000000000007,345075,148522.15,0.8898773900956698,0.7278314310798947,0.8779102383673569,-0.15007880728746226,2.050143726216438,2.6046868713622393,-0.5545431451458014,4056947.0,3951680.55,0.026602481515269005,11.75671085995798,28.686414357407937,-16.929703497449957,0.9216098874562644,0.96405514682874,-0.042445259372475674,0.5208360288111242
ten-proofs,twoDegenerateExtremalCounterexample,CompactnessAndDegeneracy.lean,18441,3628,20,23,13.9,9.1,1047,730.2,0.3727921763137463,21,21.45,-0.4499999999999993,369196,174217.4,0.821765943331485,0.7335243553008596,0.8591367701917252,-0.1256124148908656,2.1476030116672784,2.5370304977625873,-0.38942748609530886,4068790.0,4044541.1,0.006661197093270843,11.02067736378509,26.058522136974744,-15.037844773189654,0.9168100124696202,0.9592606948827391,-0.04245068241311889,0.3727921763137463
ten-proofs,exists_infinite_pairwise_nonisomorphic_propertyT_icc_groups_with_isomorphic_factors,ConnesRigidity.lean,37347,458,20,16,8.55,7.449999999999999,2188,688.25,1.164592693681568,23,21.6,1.3999999999999986,629588,161948.35,1.433676164192855,0.6115173674588665,0.8817393495862607,-0.2702219821273941,1.6388337512096318,2.606735493110622,-0.9679017419009903,4401949.0,3960465.05,0.10582151648723226,6.99179304561078,27.61148692214694,-20.61969387653616,0.8748716346515986,0.9612742371406775,-0.08640260248907894,1.164592693681568
ten-proofs,ehrhart_volume_inequality_for_sets,EhrhartVolumeInequality.lean,55733,439,20,10,8.15,1.8499999999999996,2962,685.75,1.849700247644348,35,19.95,15.05,1483494,185046.75,2.868968604043605,0.5857528696826468,0.8898582882379765,-0.3041054185553297,1.5752880626857444,2.887156080247896,-1.3118680175621515,4792494.0,3599871.1,0.5145897290784553,3.2305449162585087,52.65552845079499,-49.42498353453648,0.7636238310207094,0.9608459335025101,-0.19722210248180072,1.849700247644348
ten-proofs,gapCVP400IsNPHard,GapCVP.lean,130398,213,20,6,3.5,2.5,7704,2605.0,3.3150899405646754,32,18.35,13.649999999999999,2853987,961153.75,4.54827958625679,0.5861889927310489,0.7432710955892304,-0.15708210285818158,1.4199997810509424,2.5247182402265405,-1.104718459175598,8427295.0,3842191.7,2.8673064029025674,2.9528147815669796,55.769600242187,-52.816785460620025,0.7470157203764608,0.8085847763518965,-0.061569055975435716,3.3150899405646754
ten-proofs,binaryRate_lt_mrrw,MetricCodes.lean,20797,118,20,4,3.95,0.04999999999999982,1672,427.15,2.7538898179707214,22,15.5,6.5,657141,88807.15,4.248024198162414,0.7039473684210527,0.8804767481900487,-0.17652937976899608,1.853244504384574,2.7170424991525235,-0.8637979947679495,4360417.0,2553993.4,2.908942937188055,6.635435926231965,49.31427783430182,-42.678841908069856,0.8690317082532977,0.8936372227906464,-0.024605514537348716,2.7538898179707214
ten-proofs,strict_hierarchy,MetricCodes.lean,114336,225,20,9,9.7,-0.6999999999999993,5149,1418.65,1.7303721134533125,25,20.95,4.050000000000001,2616705,431997.8,2.56340994815797,0.5402990872013983,0.8150057651354607,-0.27470667793406245,1.4275375689832794,2.3823266124334443,-0.9547890434501649,6518610.0,4512235.15,0.5999429298823742,2.491152040447815,24.21748499048372,-21.726332950035903,0.7135616013240923,0.9315204659392731,-0.21795886461518077,1.7303721134533125
ten-proofs,erdos_problem_183_explicit,MulticolorTriangleRamsey.lean,3042,116,20,3,5.25,-2.25,759,694.5,0.3022040972273805,22,21.45,0.5500000000000007,195901,158494.85,0.5467507129152498,0.8260869565217391,0.8696937883594364,-0.04360683183769731,2.4187079984388875,2.5676440453143177,-0.14893604687543016,3923947.0,3764572.9,0.2559615143671401,20.03025507781992,29.398910916155778,-9.368655838335858,0.9524494593004402,0.9614919761744692,-0.009042516874029016,0.3022040972273805
ten-proofs,exists_finitelyPresented_nonsofic_group,NonSoficGroup.lean,34430,173,20,4,4.25,-0.25,2025,430.55,2.6952103036995165,23,15.35,7.65,941102,84605.1,4.237927291632651,0.5837037037037037,0.9246283672441125,-0.34092466354040873,1.6438974645294944,3.4310319499042308,-1.7871344853747364,4250286.0,2588846.65,2.276986454794553,4.516286226147644,124.60535776344766,-120.08907153730001,0.8187186162929837,0.9186923264069877,-0.09997371011400402,2.6952103036995165
ten-proofs,permanent_rational_formula_logarithmic_lower_bound,Permanent.lean,27551,93,20,6,6.4,-0.40000000000000036,1066,676.15,0.4640241892133119,23,22.25,0.75,293998,139862.9,0.7775343452129206,0.7495309568480301,0.8871134557785517,-0.13758249893052166,2.1339897451438214,2.630182248472731,-0.4961925033289094,4321657.0,3960326.8,0.08781807649656237,14.699613602813624,29.896290432799653,-15.196676829986028,0.936304164847676,0.9662047967554315,-0.029900631907755493,0.4640241892133119
ten-proofs,distributionUniformExponential,QuantumParallelRepetition.lean,70953,53,20,9,6.7,2.3,2847,647.25,1.4813376680708652,27,22.0,5.0,1694360,128117.55,2.587904849044854,0.5641025641025641,0.9004474753697715,-0.33634491126720745,1.4887894297852056,2.671474435348249,-1.1826850055630433,5088527.0,3928856.5,0.2586810561712749,3.003214783162964,30.97841933671689,-27.975204553553926,0.7502007625956322,0.9684563708231139,-0.2182556082274817,1.4813376680708652
ten-proofs,sharpFullCohnElkiesManuscriptConclusions,SpherePacking.lean,55591,1069,20,2,5.8,-3.8,632,768.95,0.28125616904116946,25,20.05,4.949999999999999,120431,249998.65,0.313578990936632,0.9066455696202531,0.8673434464960934,0.039302123124159705,2.696912140843765,2.7874885657655377,-0.09057642492177287,3902987.0,3614502.1,0.49890832853387757,32.40849116921723,50.88462081860455,-18.476129649387325,0.9700674898804946,0.947901037088888,0.022166452791606672,0.28125616904116946
navier-stokes-euler,exists_compact_smooth_euler_singularity,Euler/EulerSingularity.lean,133,375,20,20,13.5,6.5,20664,19513.55,0.057286909643211814,37,36.35,0.6499999999999986,6693828,6244855.15,0.06943617801812607,0.7373209446380178,0.7446431581617714,-0.007322213523753618,1.6447137158577134,1.666725181042721,-0.022011465185007628,25245691.0,24762872.45,0.01931042379669634,3.7714878541844814,3.965376084374337,-0.19388823018985546,0.7904217655876408,0.7986040075848873,-0.008182241997246487,0.057286909643211814
navier-stokes-euler,euler_breakdown_R3,Euler/Solution.lean,33,348,20,7,4.7,2.3,20975,16551.2,1.3074360987100864,37,33.75,3.25,6855865,5295502.6,1.744552217029657,0.7319666269368296,0.7235620246737433,0.008404602263086258,1.6348913908476663,1.7804297673262113,-0.14553837647854495,25290239.0,21054843.0,1.4046004829210776,3.6888472862286523,18.752275818737147,-15.063428532508494,0.7867279655413296,0.7778750737140219,0.008852891827307752,1.3074360987100864
navier-stokes-euler,exists_compact_smooth_euler_singularity,Euler/Solution.lean,43,951,20,23,13.05,9.95,21069,19548.75,0.07496041729721803,37,36.1,0.8999999999999986,6878145,6264223.3,0.09361748214162091,0.7312639422848735,0.7442000198413125,-0.012936077556438996,1.6328482629773358,1.6656718797148886,-0.03282361673755285,25304822.0,24774991.65,0.021164351328899045,3.6790183981291467,3.955783265061855,-0.2767648669327083,0.7862799598309255,0.7981949717226906,-0.011915011891765137,0.07496041729721803
navier-stokes-euler,navier_stokes_breakdown_R3,NavierStokes/ComparatorR3Theorem.lean,38,165,20,5,5.25,-0.25,20852,16555.7,1.3319638626735149,36,32.75,3.25,6798504,5297700.2,1.8152724486264287,0.7339343947822751,0.728920916433955,0.005013478348320111,1.6378444999410418,1.690265155433534,-0.052420655492492196,25216972.0,21052628.65,1.5614675726062757,3.7091942580308843,33.387629366640404,-29.67843510860952,0.7876494480356937,0.7695202798680028,0.018129168167690946,1.3319638626735149
navier-stokes-euler,navier_stokes_breakdown_R3,NavierStokes/ComparatorSolution.lean,16,122,20,4,5.55,-1.5499999999999998,19471,18502.3,0.4935881494538421,37,36.1,0.8999999999999986,6229093,5921105.4,0.7816820224918217,0.7449026757742283,0.7075543506943198,0.037348325079908484,1.667410886527174,1.5838646422641698,0.08354624426300417,24743397.0,23511088.65,0.8510072116872216,3.9722311097297793,3.7721967655106505,0.2000343442191288,0.7988830410470711,0.758881182020455,0.04000185902661613,0.4935881494538421
navier-stokes-euler,navier_stokes_breakdown_periodic,NavierStokes/ComparatorSolution.lean,23,235,20,5,4.7,0.2999999999999998,19478,17524.85,0.9186769387942153,38,35.0,3.0,6229729,5607576.65,1.3020029925637608,0.7449430126296335,0.7203612671507369,0.024581745478896577,1.667407086263803,1.5939760231620037,0.07343106310179937,24744907.0,22272637.75,1.4287102397226672,3.972067966359371,3.6373972546542475,0.33467071170512375,0.7988764420024177,0.7467991236469265,0.05207731835549123,0.9186769387942153
navier-stokes-euler,navier_stokes_breakdown_periodic,NavierStokes/ComparatorTheorem.lean,47,160,20,6,5.45,0.5499999999999998,20971,16555.65,1.3376568213979336,36,32.45,3.549999999999997,6831801,5297808.95,1.820140734942779,0.7324400362405227,0.7289151257618295,0.0035249104786931884,1.6345920785829324,1.6902508705756922,-0.055658791992759804,25236592.0,21052484.35,1.562251147915532,3.693988159198431,33.3875368854678,-29.693548726269373,0.7869615418521284,0.769516538688734,0.017445003163394368,1.3376568213979336
flt,flt_pinned,FinalCheck.lean,6,41,20,2,1.8,0.19999999999999996,2,3133.6,-5.087481165063777,1,28.75,-27.75,109,829017.1,-6.164053917041081,1.0,0.7638051974623761,0.23619480253762393,5.60012686790742,2.884595566273558,2.7155313016338622,30.0,222710652.35,-12.023806708079952,0.27522935779816515,205.7558580513061,-205.48062869350792,0.2158273381294964,0.8815986248795671,-0.6657712867500707,-5.087481165063777
flt,flt_mathlib,FinalCheck.lean,7,157,20,2,3.25,-1.25,2,4088.15,-6.5137302160139114,1,34.6,-33.6,109,1083638.2,-8.11682933517897,1.0,0.7746083063529354,0.22539169364706457,5.60012686790742,2.4982414482321027,3.1018854196753174,30.0,286757558.45,-14.33976194241141,0.27522935779816515,239.1423750833729,-238.86714572557474,0.2158273381294964,0.9068178718343107,-0.6909905337048143,-6.5137302160139114
flt,fermat_last_theorem,Theorems/Thm_fermat_last_theorem.lean,128,68,20,1,1.5,-0.5,1,1562.7,-2.9879933329681903,1,13.8,-12.8,41,412866.65,-3.7405617829256594,1.0,0.7319248131039996,0.2680751868960004,10.101641447146731,3.709436943917223,6.392204503229508,0.0,111428979.85,-12.185389967091478,0.0,453.5043943310454,-453.5043943310454,0.0,0.7960116490346005,-0.7960116490346005,-2.9879933329681903
pfr,approx_hom_pfr,PFR/ApproxHomPFR.lean,38,8114,20,8,3.75,4.25,465,118.35,2.0065620474202275,15,8.75,6.25,307453,59608.35,2.750336352003689,0.6688172043010753,0.6539702935388716,0.01484691076220368,1.379657033849252,1.8974889754835893,-0.5178319416343373,524060.0,194302.7,1.452729771371942,1.7045206909674,9.074795995115387,-7.370275304147987,0.6302487152936875,0.8400361882338221,-0.20978747294013456,2.0065620474202275
pfr,homomorphism_pfr,PFR/HomPFR.lean,75,4590,20,3,3.95,-0.9500000000000002,462,195.4,1.6252895998980836,15,9.8,5.199999999999999,307112,113858.15,2.4089807652477457,0.6666666666666666,0.673398966839488,-0.006732300172821337,1.3782533095175764,1.7171224298661592,-0.33886912034858274,523190.0,289346.85,1.5410673324658184,1.703580452733856,7.084102383375225,-5.380521930641368,0.6301201249665784,0.745638226547316,-0.11551810158073761,1.6252895998980836
