project,headlines,compression_fraction_lift,log_closure_lift,reusable_fraction_lift,closure_depth_lift
flt,3,-0.7175911564964951,-4.863068238015294,0.2432205610268963,-24.71666666666667
formalized-logic,5,0.060588549184244146,1.2900292583140005,0.07253010112499395,2.3600000000000003
lean-liquid,2,-0.019956599266867603,0.16939872276593348,-0.011056877104598573,0.1750000000000007
navier-stokes-euler,7,0.01662985523592697,0.7887955997100031,0.008373538652673143,2.214285714285713
pfr,2,-0.16265278726043608,1.8159258236591556,0.004057305294691171,5.725
pnt,3,0.039373459941840494,-0.7859561395225146,0.1158457376496957,-0.38333333333333286
schoenflies,1,-0.04025846081312201,0.2451902807440529,-0.025585154607745686,-0.3500000000000014
sphere-eversion,1,-0.011839705484554264,0.08211922045896092,-0.021715002618338697,1.0999999999999996
ten-proofs,12,-0.08397167468467526,1.4109421204743118,-0.18979113048949725,5.054166666666666
