project,n,depth_coefficient,compression_coefficient,base_r2,full_r2,incremental_r2,mean_isolation
flt,2003,-0.002021365557144743,0.003272467480775442,0.18562458735070364,0.18461143916375966,-0.0010131481869439796,0.02480512518199515
formalized-logic,2505,0.0044083893729407716,-8.523867109395838e-05,0.22771717539807268,0.2295434715899396,0.0018262961918669163,-0.00539141053449132
navier-stokes-euler,2507,0.006306043301473392,-0.0015890636969264856,0.3116713575686333,0.31674121625985296,0.005069858691219675,0.049491579569712736
pfr,910,0.0014307203856622252,0.004073459457541732,0.24212003523131354,0.24242091930508658,0.0003008840737730445,0.020646486374048086
pnt,2503,-0.005428100170538218,0.008820232802271386,0.46271027841928036,0.46891115731414257,0.006200878894862205,0.0803030129913516
schoenflies,2501,0.0038867160380563637,-0.003975180978356125,0.21188377420276372,0.21186686889896933,-1.6905303794390036e-05,0.04907665356117837
sphere-eversion,909,-0.0009119939106014815,0.007303191319722903,0.23057081240482635,0.2439456844426443,0.013374872037817953,0.011336517806100373
ten-proofs,2512,0.00354803326804128,0.0004764380472199834,0.25235646081785734,0.25239264228809877,3.618147024142537e-05,0.04425523847721185
