project,revision,n,control_n,frontier_density,matched_control_density,time_matched_difference,old_matched_difference,median_match_distance,q95_match_distance,unique_control_matches
ten-proofs,81a5d257c8e410db227a6665ed08f64fea08e997,2512,3000,0.6436941623687744,0.7111278772354126,-0.06743373721837997,-0.08238904178142548,0.034291078215404044,1.6009524833041353,670
navier-stokes-euler,85e3a25e006c35636f0e53b0e9296caca2685bc0,2507,3000,0.6431767344474792,0.7311903238296509,-0.08801357448101044,-0.0984531044960022,0.014888218878813784,1.0886829390911081,813
flt,db584cd6d46c92f209a44c0f1c829460d327499d,2003,3000,0.6726157069206238,0.7171168923377991,-0.0445011742413044,-0.0698133185505867,0.011229335038955955,1.8181656970149371,882
pfr,c32e1ec0d1eb5237ba344eee50162f45d5b0fc76,910,3000,0.6795249581336975,0.7303756475448608,-0.05085065960884094,-0.0731695294380188,0.01127376278781413,0.25119887790091544,330
pnt,905b95818eb32af7874a58b427f50c1711a5e96c,2503,3000,0.6435163617134094,0.7389043569564819,-0.0953880250453949,-0.12327446788549423,0.0,0.24761464638353625,591
formalized-logic,5ed2965256430c3649e86755f9576b54eca72435,2505,3000,0.7122194170951843,0.7514705061912537,-0.03925107419490814,-0.06534983962774277,0.0,0.05913823839005945,844
schoenflies,905b95818eb32af7874a58b427f50c1711a5e96c,2501,3000,0.6683515906333923,0.731224775314331,-0.0628732293844223,-0.08649566024541855,0.0,0.26778585675636934,950
sphere-eversion,2631d1cc8c2ace6c6a900425d6e5d2b5963966e9,909,3000,0.7027680277824402,0.734340488910675,-0.03157241642475128,-0.056658294051885605,0.0,0.08101730303582892,560
